,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
0,1.2,1.2,1.2,1.2,1.4,False
1,1,1,1,1,1,True
2,17,36,112,86,13,True
3,17,135,329,271,5,True
4,11,16,76,50,7,True
5,14,24,69,42,3,True
6,0,0,0,0,17,True
7,4,5,9,7,1,True
8,0,0,0,0,3,True
9,0,0,0,0,43,True
10,0,0,0,0,19,True
11,0,0,0,0,21,True
12,11,12,22,15,5,True
13,19,23,87,42,7,True
14,0,0,0,0,15,True
15,0,0,0,0,43,True
16,4,4,5,4,1,True
17,32,64,1081,388,97,True
18,7,10,167,117,15,True
19,26,47,161,118,13,True
20,27,59,176,146,33,True
21,19,24,107,64,11,True
22,21,56,299,227,69,True
23,0,0,0,0,11,True
24,9,16,72,73,15,True
25,28,113,484,330,85,True
26,14,25,45,43,5,True
27,22,103,388,310,9,True
28,22,29,127,91,31,True
29,16,44,85,72,5,True
30,8,10,18,13,3,True
31,14,21,66,50,11,True
32,4,4,5,4,1,True
33,9,5,21,10,5,True
34,0,0,0,0,1,True
35,0,0,0,0,41,True
36,20,28,113,79,11,True
37,0,0,0,0,47,True
38,10,5,15,6,3,True
39,0,0,0,0,25,True
40,13,7,34,18,5,True
41,9,15,31,20,3,True
42,0,0,0,0,11,True
43,19,57,308,208,37,True
44,25,29,149,77,39,True
45,13,21,58,48,7,True
46,0,0,0,0,29,True
47,9,23,38,33,3,True
48,0,0,0,0,219,True
49,0,0,0,0,53,True
50,26,63,271,220,37,True
51,21,53,174,126,17,True
52,12,12,29,18,5,True
53,0,0,0,0,19,True
54,0,0,0,0,109,True
55,5,6,8,7,1,True
57,0,0,0,0,53,True
58,25,57,256,189,53,True
60,5,5,8,6,1,True
61,7,6,10,7,3,True
62,0,0,0,0,71,True
63,19,76,370,274,31,True
64,16,51,158,115,29,True
66,12,12,24,16,7,True
67,17,30,116,74,27,True
68,4,17,40,39,1,True
69,12,8,34,28,9,True
70,21,24,174,76,15,True
71,7,19,27,23,3,True
72,13,18,47,33,7,True
73,34,52,260,142,58,True
74,0,0,0,0,1,True
75,10,17,66,41,1,True
76,11,32,86,71,3,True
77,9,5,29,16,1,True
78,10,6,12,10,5,True
79,5,4,6,5,1,True
80,8,7,15,13,5,True
81,7,5,9,6,1,True
82,0,0,0,0,109,True
83,15,32,167,140,9,True
84,14,20,44,29,7,True
85,25,44,165,123,22,True
86,6,10,7,11,1,True
87,20,40,164,113,21,True
88,27,64,153,124,24,True
89,19,22,106,70,11,True
90,4,4,6,4,1,True
95,0,0,0,0,9,True
96,10,5,13,8,5,True
97,10,6,19,11,3,True
98,21,86,246,202,29,True
99,10,21,53,45,7,True
100,5,3,5,3,1,True
101,6,10,33,26,3,True
102,18,78,191,161,21,True
103,22,25,83,54,11,True
104,17,32,123,103,11,True
105,0,0,0,0,7,True
106,22,24,80,51,9,True
107,19,29,132,63,13,True
108,21,21,66,41,7,True
109,20,29,111,84,17,True
110,16,14,43,26,11,True
111,12,11,47,28,3,True
112,17,22,67,54,5,True
113,22,22,58,42,9,True
114,27,51,260,163,29,True
115,28,68,258,204,31,True
116,24,38,211,139,35,True
117,21,21,58,40,9,True
118,0,0,0,0,7,True
119,30,57,184,139,45,True
120,16,18,96,64,23,True
121,12,21,49,38,5,True
122,11,8,22,17,5,True
123,0,0,0,0,11,True
124,15,11,63,36,15,True
125,7,6,9,7,3,True
126,0,0,0,0,11,True
127,14,25,51,44,5,True
128,16,7,45,28,7,True
129,14,9,45,30,11,True
130,12,5,61,36,19,True
131,20,14,76,52,21,True
132,14,25,51,44,5,True
133,7,6,10,9,3,True
134,18,13,68,48,9,True
135,0,0,0,0,11,True
136,9,15,29,23,5,True
137,0,0,0,0,5,True
138,9,16,28,20,7,True
139,9,17,29,21,7,True
140,26,42,201,163,15,True
141,26,67,174,118,23,True
142,15,49,118,105,9,True
143,?,?,?,?,?,True
144,0,0,0,0,18,True
145,10,11,24,19,3,True
146,24,43,156,104,15,True
147,23,34,125,80,14,True
148,16,27,165,104,19,True
149,28,32,202,147,39,True
150,12,21,78,65,9,True
151,13,19,63,34,5,True
152,12,9,27,14,5,True
153,13,21,67,38,5,True
154,13,13,47,44,9,True
155,17,33,98,71,11,True
156,27,45,925,304,61,True
157,0,0,0,0,7,True
158,13,42,73,64,7,True
159,4,3,4,3,1,True
160,7,10,15,12,1,True
161,9,6,14,6,3,True
162,15,24,85,64,14,True
163,12,24,47,37,3,True
164,12,23,47,37,3,True
165,15,11,46,30,11,True
166,23,19,122,57,34,True
167,25,32,119,79,17,True
168,15,18,54,32,3,True
169,23,20,89,54,20,True
170,22,47,324,257,53,True
171,18,15,46,26,13,True
172,17,14,46,24,20,True
173,0,0,0,0,61,True
174,8,5,11,6,1,True
175,13,17,33,23,5,True
176,15,9,55,22,3,True
177,16,10,61,28,3,True
178,14,11,61,28,3,True
179,0,0,0,0,9,True
180,0,0,0,0,7,True
181,19,19,72,39,7,True
182,16,21,51,35,3,True
183,15,26,57,43,7,True
184,13,18,36,26,13,True
185,4,6,7,6,1,True
186,20,22,88,44,9,True
187,16,12,88,41,15,True
188,16,12,84,37,13,True
190,22,18,132,84,35,True
191,16,15,49,33,7,True
192,15,48,192,153,43,True
193,8,5,10,7,3,True
194,6,7,13,9,3,True
195,0,0,0,0,11,True
196,15,15,76,34,17,True
197,20,18,63,40,17,True
198,26,45,239,143,19,True
199,4,3,4,3,1,True
200,17,12,35,19,13,True
201,21,20,70,38,15,True
202,22,18,73,47,19,True
203,23,36,148,90,35,True
204,23,17,122,71,31,True
205,22,22,68,45,13,True
206,23,23,77,52,15,True
207,20,19,58,36,11,True
208,21,23,139,87,31,True
209,26,46,210,147,51,True
210,0,0,0,0,15,True
211,0,0,0,0,17,True
212,0,0,0,0,7,True
213,14,7,229,104,67,True
214,11,34,145,90,21,True
215,0,0,0,0,21,True
216,0,0,0,0,7,True
217,14,14,29,18,9,True
218,12,12,23,18,7,True
219,18,18,49,35,13,True
220,12,9,24,15,3,True
221,11,19,41,27,5,True
222,15,9,32,19,9,True
223,9,5,15,7,5,True
224,12,9,28,23,7,True
225,24,48,258,198,49,True
226,15,14,39,26,11,True
227,15,17,42,30,15,True
228,25,35,123,93,17,True
229,24,17,82,43,17,True
230,19,42,149,96,21,True
231,12,36,65,52,11,True
232,23,26,166,133,11,True
233,16,16,39,28,7,True
234,18,36,141,91,21,True
235,3,3,7,3,1,True
236,11,7,14,9,5,True
237,11,15,48,38,13,True
238,16,33,268,163,37,True
239,5,4,7,4,1,True
240,7,4,9,5,3,True
